title,author,length
The First Fifteen Lives of Harry August,Claire North,12 hrs and 10 mins
Fierce Conversations,Susan Craig Scott M.D.,13 hrs and 33 mins
"A Patriot’s History of the United States, Updated Edition","Larry Schweikart,Michael Allen",55 hrs and 43 mins
The Tiger,John Vaillant,12 hrs and 5 mins
"First, Break All the Rules","Marcus Buckingham,Gallup Press,Jim Harter - foreword",9 hrs and 51 mins
Number the Stars,Lois Lowry,2 hrs and 45 mins
13 Hours,"Mitchell Zuckoff,Annex Security Team",7 hrs and 43 mins
"Never Eat Alone, Expanded and Updated","Keith Ferrazzi,Tahl Raz",13 hrs and 49 mins
Swan Song,Robert R. McCammon,34 hrs and 19 mins
Why We Sleep,Matthew Walker,13 hrs and 52 mins
Shields of Strathmar,Marc Mulero,14 hrs and 51 mins
Raw,Misty Vixen,8 hrs and 1 min
Yellow Crocus,Laila Ibrahim,8 hrs and 21 mins
La cabeza de mi padre [My Father’s Head],Alma Delia Murillo,5 hrs and 55 mins
A Return to Love,Marianne Williamson,2 hrs and 40 mins
A Child Called 'It',David Pelzer,3 hrs and 46 mins
1491,Charles C. Mann,16 hrs and 17 mins
Red Queen,Victoria Aveyard,12 hrs and 39 mins
Starship Troopers,Robert A. Heinlein,9 hrs and 52 mins
The Choice,Dr. Edith Eva Eger,12 hrs and 26 mins
The Alien's Kidnapped Omega,Sienna Sway,5 hrs and 21 mins
The Girl Who Came Home,Hazel Gaynor,9 hrs and 40 mins
Frenchman's Creek,Daphné du Maurier,8 hrs and 47 mins
Beach Lawyer,Avery Duff,11 hrs and 35 mins
Autobiography of a Yogi,Paramahansa Yogananda,17 hrs and 50 mins
Getting Things Done,David Allen,10 hrs and 23 mins
One Second After,William R. Forstchen,13 hrs and 17 mins
The Purpose Driven Life,Rick Warren,9 hrs and 38 mins
The Giver,Lois Lowry,4 hrs and 49 mins
The Outsiders,S. E. Hinton,5 hrs and 8 mins
Psycho-Cybernetics,Maxwell Maltz,12 hrs and 16 mins
Rare Objects,Kathleen Tessaro,13 hrs and 28 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,11 hrs and 11 mins
The Stranger in the Woods,Michael Finkel,6 hrs and 19 mins
Salt to the Sea,Ruta Sepetys,8 hrs and 47 mins
"Where'd You Go, Bernadette",Maria Semple,9 hrs and 35 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford,14 hrs and 20 mins
"The Case for Christ, Revised & Updated",Lee Strobel,10 hrs and 49 mins
The Lean Startup,Eric Ries,8 hrs and 38 mins
The Things They Carried,Tim O'Brien,7 hrs and 47 mins
Down the Rabbit Hole,Holly Madison,10 hrs and 51 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",11 hrs and 45 mins
American Wolf,Nate Blakeslee,9 hrs and 13 mins
Wild,Cheryl Strayed,13 hrs and 2 mins
The Girl Who Came Home,Hazel Gaynor,9 hrs and 40 mins
Frenchman's Creek,Daphné du Maurier,8 hrs and 47 mins
